Energy (MeV),Co60 Counts,Co60 Normalized,Cs137 Counts,Cs137 Normalized,Na22 Counts,Na22 Normalized
1.0621,9.73546e-05,0.0009458147126258113,0.0,0.0,5.36385e-05,0.0006135927638871571
1.064,9.97715e-05,0.0009692952628920064,0.0,0.0,5.05443e-05,0.0005781969431610063
1.066,9.97406e-05,0.0009689950647029107,0.0,0.0,4.81801e-05,0.0005511518913347618
1.0679,9.90207e-05,0.0009620011269576032,0.0,0.0,4.63709e-05,0.0005304557117543364
1.0699,9.99566e-05,0.0009710935374810556,0.0,0.0,4.31945e-05,0.0004941195715712373
1.0718,0.000101006,0.000981288617728209,0.0,0.0,4.07891e-05,0.0004666032160755733
1.0738,0.000100265,0.0009740896902809623,0.0,0.0,3.73763e-05,0.0004275627994980388
1.0757,0.000101109,0.000982289278358528,0.0,0.0,3.55979e-05,0.0004072189537287327
1.0777,0.000100399,0.000975391520615552,0.0,0.0,3.32234e-05,0.0003800560759851333
1.0796,0.000101139,0.000982580732911048,0.0,0.0,3.12291e-05,0.00035724246171515647
1.0816,0.000101972,0.0009906734543193565,0.0,0.0,2.89677e-05,0.00033137338118056995
1.0835,0.000102538,0.0009961722302102359,0.0,0.0,2.79397e-05,0.00031961366826398956
1.0855,0.000101438,0.0009854855632844986,0.0,0.0,2.59249e-05,0.00029656554610024813
1.0875,0.000102816,0.0009988730423969223,0.0,0.0,2.52054e-05,0.00028833489099958705
1.0894,0.000100872,0.0009799867873936192,0.0,0.0,2.42082e-05,0.000276927511894126
1.0914,0.000101119,0.0009823864298760347,0.0,0.0,2.27588e-05,0.00026034723183450376
1.0933,0.000102353,0.000994374927136362,0.0,0.0,2.21935e-05,0.0002538805336713298
1.0953,9.94013e-05,0.0009656987137139083,0.0,0.0,2.12477e-05,0.0002430611402116977
1.0972,0.000100728,0.0009785878055415225,0.0,0.0,2.05076e-05,0.00023459483327632695
1.0992,9.87842e-05,0.0009597034935685695,0.0,0.0,1.94488e-05,0.0002224827865486272
1.1011,9.95761e-05,0.0009673969222399254,0.0,0.0,1.83489e-05,0.0002099005800924533
1.1031,9.94115e-05,0.000965797808261765,0.0,0.0,1.80817e-05,0.00020684396988689856
